name,brand,price_raw,price_clean,old_price_clean,discount_percentage,rating_score,review_count,category,image,url,metadata_profile
ADV Skin 12 Gradient,Salomon,"ab 135,96 €",135.96,159.95,15.0,0.0,0,rucksaecke,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_502-9535-0111_pic1_1.jpg,https://www.bergfreunde.de/salomon-adv-skin-12-gradient-trailrunningrucksack/,Brand: Salomon. Product Name: ADV Skin 12 Gradient. Category: rucksaecke. Priced at 135.96 EUR with a 15.0% discount. New release product with no customer feedback evaluations available yet.
Women's Aerotrek 18,Salomon,"142,45 €",142.45,142.45,0.0,5.0,3,rucksaecke,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_502-9546-0211_pic1_1.jpg,https://www.bergfreunde.de/salomon-womens-aerotrek-18-wanderrucksack/,Brand: Salomon. Product Name: Women's Aerotrek 18. Category: rucksaecke. Priced at 142.45 EUR with a 0.0% discount. This highly rated gear scored 5.0 out of 5 based on 3 customer reviews.
Women's Voyager 60+10 SL,Deuter,"254,96 €",254.96,299.95,15.0,5.0,1,rucksaecke,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_502-8942-0111_pic1_1.jpg,https://www.bergfreunde.de/deuter-womens-voyager-60-10-sl-reiserucksack/,Brand: Deuter. Product Name: Women's Voyager 60+10 SL. Category: rucksaecke. Priced at 254.96 EUR with a 15.0% discount. This highly rated gear scored 5.0 out of 5 based on 1 customer reviews.
Icon Rolltop Backpack 23,Sandqvist,"141,47 €",141.47,158.95,11.0,0.0,0,rucksaecke,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_502-9420-0811_pic1_1.jpg,https://www.bergfreunde.de/sandqvist-icon-rolltop-backpack-23-daypack/,Brand: Sandqvist. Product Name: Icon Rolltop Backpack 23. Category: rucksaecke. Priced at 141.47 EUR with a 11.0% discount. New release product with no customer feedback evaluations available yet.
Eiger Nordwand 28,Mammut,"499,95 €",499.95,499.95,0.0,0.0,0,rucksaecke,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_503-1081-0111_pic1_1.jpg,https://www.bergfreunde.de/mammut-eiger-nordwand-28-tourenrucksack/,Brand: Mammut. Product Name: Eiger Nordwand 28. Category: rucksaecke. Priced at 499.95 EUR with a 0.0% discount. New release product with no customer feedback evaluations available yet.
Transporter 95,Osprey,"175,70 €",175.7,175.7,0.0,5.0,2,rucksaecke,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_510-3209-0811_pic1_1.jpg,https://www.bergfreunde.de/osprey-transporter-95-reisetasche/,Brand: Osprey. Product Name: Transporter 95. Category: rucksaecke. Priced at 175.7 EUR with a 0.0% discount. This highly rated gear scored 5.0 out of 5 based on 2 customer reviews.
Youth's Court Jester,The North Face,"50,69 €",50.69,56.95,10.99,3.0,1,rucksaecke,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_508-0617-1111_pic1_1.jpg,https://www.bergfreunde.de/the-north-face-youths-court-jester-kinderrucksack/,Brand: The North Face. Product Name: Youth's Court Jester. Category: rucksaecke. Priced at 50.69 EUR with a 10.99% discount. This highly rated gear scored 3.0 out of 5 based on 1 customer reviews.
MT Trail Vest 5,adidas Terrex,"68,20 €",68.2,68.2,0.0,0.0,0,rucksaecke,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_504-1056-0111_pic1_1.jpg,https://www.bergfreunde.de/adidas-terrex-mt-trail-vest-5-trailrunningrucksack/,Brand: adidas Terrex. Product Name: MT Trail Vest 5. Category: rucksaecke. Priced at 68.2 EUR with a 0.0% discount. New release product with no customer feedback evaluations available yet.
Travel Pack 45,Matador,"259,95 €",259.95,259.95,0.0,4.0,1,rucksaecke,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_510-4126-0111_pic1_1.jpg,https://www.bergfreunde.de/matador-travel-pack-45-reisetasche/,Brand: Matador. Product Name: Travel Pack 45. Category: rucksaecke. Priced at 259.95 EUR with a 0.0% discount. This highly rated gear scored 4.0 out of 5 based on 1 customer reviews.
Women's Kyte 38,Osprey,"ab 177,96 €",177.96,199.95,11.0,5.0,3,rucksaecke,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_502-7163-0311_pic1_1.jpg,https://www.bergfreunde.de/osprey-womens-kyte-38-trekkingrucksack/,Brand: Osprey. Product Name: Women's Kyte 38. Category: rucksaecke. Priced at 177.96 EUR with a 11.0% discount. This highly rated gear scored 5.0 out of 5 based on 3 customer reviews.
